"id","value","name","countryId"
"2008PIAU01",56,"Antoine Piau","France"
"2008SAJI01",56,"Yu Sajima (佐島優)","Japan"
"2009CHRI03",56,"Nora Christ","Germany"
"2010GOLD01",56,"Zach Goldman","USA"
"2010VERE01",56,"Manu Vereecken","Belgium"
"2010WUIF01",56,"Yi-Fan Wu (吳亦凡)","Taiwan"
"2006SUZU03",55,"Yohei Suzuki (鈴木洋平)","Japan"
"2007DUSS01",55,"Gaël Dusser","France"
"2007LIME01",55,"Eric Limeback","Canada"
"2008BROW01",55,"Cameron Brown","USA"
"2008JONG03",55,"Jong-Ho Jeong (정종호)","Korea"
"2008MATS04",55,"Takayuki Matsumoto (松本孝之)","Japan"
"2008MIZU01",55,"Weston Mizumoto","USA"
"2009MCMA01",55,"Tim McMahon","Australia"
"2012COST01",55,"Kevin Costello III","USA"
"2004NOOR01",54,"Joël van Noort","Netherlands"
"2006BUUS02",54,"Kirstine Buus Aagaard","Denmark"
"2008TOMI01",54,"Takahiro Tomisawa (富沢隆広)","Japan"
"2009ZEMD01",54,"Feliks Zemdegs","Australia"
"2011BILC01",54,"Ihor Bilchenko (Ігор Більченко)","Ukraine"
"2011STAC01",54,"Marcin Stachura","Poland"
"2012KALE01",54,"Przemysław Kaleta","Poland"
"2005BATI01",53,"Milán Baticz","Hungary"
"2006DZOA03",53,"Dan Dzoan","USA"
"2008UENO01",53,"Shuto Ueno (上野柊斗)","Japan"
"2010PULC01",53,"Ernie Pulchny","USA"
"2011MOLL01",53,"James Molloy","United Kingdom"
"2006MERT01",52,"Jim Mertens","USA"
"2008VENK01",52,"Sreeram Venkatarao","USA"
"2009KOBA02",52,"Yuuki Kobayashi (古林祐輝)","Japan"
"2009ROTA01",52,"Marco Rota","Italy"
"2010BURN01",52,"Collin Burns","USA"
"2010HONG07",52,"Xusheng Hong (洪旭升)","China"
"2010SCHI01",52,"Reinier Schippers","Netherlands"
"2010WANG53",52,"Jiayu Wang (王佳宇)","China"
"2005SUSE01",51,"Yuji Suse (巣瀬雄史)","Japan"
"2006TSAI03",51,"Yueh-Lin Tsai (蔡岳霖)","Taiwan"
"2008CLAR01",51,"Thompson Clarke","Canada"
"2008OMYO01",51,"Sanae Yamashita (山下佐苗)","Japan"
"2008OMYO01",51,"Sanae Omyo (大名佐苗)","Japan"
"2008TRAN02",51,"Chris Tran","USA"
"2009GUIL01",51,"Kevin Guillaumond","France"
"2009PARE02",51,"Luis J. Iáñez","Spain"
"2011FERA01",51,"Joshua Feran","USA"
"2012KRIS11",51,"Michael Kristel","Germany"
"2013KLEM01",51,"Lauren Klemz","USA"
