"id","value","name","countryId"
"2006SAWL01",74,"Jaclyn Sawler","USA"
"2008LINE02",74,"Edward Lin","USA"
"2009PROV01",74,"Matteo Provasi","Italy"
"2012DELI01",74,"Ryan DeLine","USA"
"2007NAKA03",73,"Yu Nakajima (中島悠)","Japan"
"2008OLLE01",72,"Alexander Olleta del Molino","Spain"
"2012TERE01",72,"Ilya Tsiareshka","Belarus"
"2009DIEC01",71,"Cornelius Dieckmann","Germany"
"2011DWYE02",71,"Nathan Dwyer","USA"
"2010MOFF02",70,"Zoé de Moffarts","Belgium"
"2007OMUR01",69,"Syuhei Omura (大村周平)","Japan"
"2008BRAN01",69,"Filippo Brancaleoni","Italy"
"2009LIDO01",69,"Donglei Li (李冬雷)","China"
"2004KRIG01",68,"Gunnar Krig","Sweden"
"2009PLES01",68,"Michał Pleskowicz","Poland"
"2010BICL01",68,"Geert Bicler","Belgium"
"2010THOM03",68,"Blake Thompson","USA"
"2006GARR01",67,"Lucas Garron","Germany"
"2008PLAC01",67,"Niki Placskó","Hungary"
"2009KASU01",67,"Sanio Kasumovic","Austria"
"2010WANG07",67,"Yinghao Wang (王鹰豪)","China"
"2008ANDE02",66,"Oscar Roth Andersen","Denmark"
"2008WIAC01",66,"Karolina Wiącek","Poland"
"2009SHEP01",66,"Daniel Sheppard","United Kingdom"
"2010ZHAO19",66,"Eric Zhao","USA"
"2011KNOT01",66,"Wojciech Knott","Poland"
"2011RIGG03",66,"Natán Riggenbach","Peru"
"2011WELC01",65,"Walker Welch","USA"
"2006WLOS01",64,"Paweł Włoszek","Poland"
"2007COHE01",64,"Dan Cohen","USA"
"2007OOBA01",64,"Kou Oobatake (大畠功)","Japan"
"2008PRYK01",64,"Owidiusz Pryk","Poland"
"2011MIKE01",64,"Brandon Mikel","USA"
"2008CHOI04",63,"Ilkyoo Choi (최일규)","Korea"
"2009LIUE01",63,"Evan Liu","USA"
"2005KOZK01",62,"Piotr Kózka","Poland"
"2008HASH02",62,"Wataru Hashimura (端村航)","Japan"
"2009BOZS01",62,"Hunor Bózsing","Hungary"
"2012POHL01",62,"Andreas Pohl","Germany"
"2007LUCH01",61,"Chia-Wei Lu (呂家維)","Taiwan"
"2008CIRN01",61,"Fabrizio Cirnigliaro","Italy"
"2009AURO01",61,"Fabian Auroux","Germany"
"2009ZHAN53",61,"Weixing Zhang (张炜星)","China"
"2012ELLI01",61,"Keaton Ellis","USA"
"2013FENG02",61,"Zijia Feng (冯子甲)","China"
"2006MURA01",60,"Mika Muranushi (村主美佳)","Japan"
"2007SHIR01",60,"Takuma Shirahase (白波瀬拓磨)","Japan"
"2008BERE01",60,"Brúnó Bereczki","Hungary"
"2008LIKA01",60,"Kailong Li (李开隆)","China"
"2008MORE02",60,"Hippolyte Moreau","France"
"2010SCHM01",60,"Leon Schmidtchen","Germany"
"2012BUBE01",60,"Reto Bubendorf","Switzerland"
"2006NORS01",59,"Bruce Norskog","USA"
"2007SANC01",59,"Javier Cabezuelo Sánchez","Spain"
"2010BREC01",59,"John Brechon","USA"
"2004KRIG02",58,"Kåre Krig","Sweden"
"2007STRO01",58,"Sarah Strong","Canada"
"2007WOOR01",58,"Riley Woo","USA"
"2009BEAR01",58,"Dene Beardsley","New Zealand"
"2009KORB01",58,"Björn Korbanka","Germany"
"2009MORI05",58,"Paolo Moriello","Italy"
"2009ROHR01",58,"Michael Röhrer","Austria"
"2010YUPH01",58,"Phil Yu","USA"
"2004MAOT02",57,"Tyson Mao (毛台勝)","USA"
"2006TEMM01",57,"Rama Temmink","Netherlands"
"2008JAFF01",57,"Justin Jaffray","Canada"
"2008TURN02",57,"Steven Turner","USA"
"2009YAUR01",57,"Robert Yau","United Kingdom"
"2005LUCZ01",56,"Grzegorz Łuczyna","Poland"
"2007WONG02",56,"Tim Wong","USA"
"2008MIZU01",56,"Weston Mizumoto","USA"
"2008PIAU01",56,"Antoine Piau","France"
"2008SAJI01",56,"Yu Sajima (佐島優)","Japan"
"2009CHRI03",56,"Nora Christ","Germany"
"2010GOLD01",56,"Zach Goldman","USA"
"2010VERE01",56,"Manu Vereecken","Belgium"
"2010WUIF01",56,"Yi-Fan Wu (吳亦凡)","Taiwan"
"2006SUZU03",55,"Yohei Suzuki (鈴木洋平)","Japan"
"2007DUSS01",55,"Gaël Dusser","France"
"2007LIME01",55,"Eric Limeback","Canada"
"2008BROW01",55,"Cameron Brown","USA"
"2008JONG03",55,"Jong-Ho Jeong (정종호)","Korea"
"2008MATS04",55,"Takayuki Matsumoto (松本孝之)","Japan"
"2009MCMA01",55,"Tim McMahon","Australia"
"2012COST01",55,"Kevin Costello III","USA"
"2004NOOR01",54,"Joël van Noort","Netherlands"
"2006BUUS02",54,"Kirstine Buus Aagaard","Denmark"
"2008TOMI01",54,"Takahiro Tomisawa (富沢隆広)","Japan"
"2009ZEMD01",54,"Feliks Zemdegs","Australia"
"2010PULC01",54,"Ernie Pulchny","USA"
"2011BILC01",54,"Ihor Bilchenko (Ігор Більченко)","Ukraine"
"2011STAC01",54,"Marcin Stachura","Poland"
"2012KALE01",54,"Przemysław Kaleta","Poland"
"2005BATI01",53,"Milán Baticz","Hungary"
"2006DZOA03",53,"Dan Dzoan","USA"
"2008TRAN02",53,"Chris Tran","USA"
